ID,X,Y
5965,38.0719316134942,-120.0879468508537
5985,33.810509624190665,-114.74036272095653
5995,41.42122057915806,-120.56380073157894
6003,37.919854093987965,-121.99088539073318
6012,35.34672681110453,-118.38588910849828
6017,41.096958179951706,-120.47390762814346
6045,36.26934188340275,-119.70191681423722
6079,34.63562066520799,-120.096104340259
6097,39.90999530682112,-120.84961380592613
6100,35.99325357123917,-119.3375688047882
6109,40.28497302202977,-120.1095957371223
6134,39.922280378031004,-122.4325832360692
6157,34.87975373059267,-116.69165478786142
6199,38.69986316204437,-121.95510466716748
6204,34.85153025762968,-114.9469459792556
6211,33.97257984229791,-117.08313425199552
6230,38.673764752941445,-123.0925189814096
6232,32.618982023006176,-116.76719314236746
6259,34.1790913283079,-117.34857354454792
6269,34.83851724370443,-119.47399051287752
6281,41.32159562531064,-123.38160794649704
6305,34.49384877376181,-118.38587644863718
6310,36.428644986482176,-119.28212072027613
6312,34.08109244788318,-118.80197697884546
6328,38.91131435511903,-122.02059991823911
6356,32.99055052074895,-117.20957907811103
6361,34.53530729936955,-117.83079761977082
6369,38.88672142902631,-122.02030292661443
6401,32.67941792614656,-115.70076419770535
6406,39.5526113041062,-121.64719115365332
6409,39.12120323169032,-122.85638402221532
6414,39.88315393544996,-122.19747418724768
6430,39.46107104649195,-121.93016020750991
6434,40.51112924606282,-121.08003199257531
6435,34.5089527762001,-117.61045765748275
6444,41.00361296518968,-123.64935785939444
6460,33.91714595202281,-116.45799325690946
6479,35.49114157768061,-120.44934298326216
6482,35.13030400088254,-120.54859253563842
6483,39.10242966920939,-121.04645376494187
6504,34.80211398494086,-117.02273560185898
6531,34.66757441411379,-118.20136798291682
6532,40.69774636471222,-123.27180938235011
6534,34.208564068175306,-116.74052508049344
6536,33.67038495750571,-117.88438454827072
6551,40.39565176668604,-122.23145971244534
6575,34.246983292299696,-116.89041911734252
6595,34.70477455407636,-117.91649996618958
6601,34.2996138056296,-119.30261079646388
6643,38.59808632866477,-122.40375859912072
6645,32.96637555579504,-116.83116665856926
6649,39.522346329863886,-121.9480623861526
6701,36.01535434189132,-121.43099779612238
6720,40.49347913314213,-123.96122233447213
6761,41.63922200824023,-124.11517508509382
6771,33.21685476397174,-117.33653223722943
6773,33.87273837979949,-117.49759631447328
6804,38.753424962660304,-121.39284715915667
6805,38.69774086711314,-120.75756535616844
6811,33.82189999906759,-118.3050652252969
6839,39.49390358295442,-121.72758129673784
6867,35.75658426497456,-119.9633911075126
6872,40.75232247789418,-122.88704248396772
6883,37.39865132712619,-119.8466534113861
6889,39.95156957315872,-120.06942037246694
6912,33.253264478328305,-116.9800834120141
6926,37.3250117519306,-121.9142523935255
6931,37.273271759604185,-120.42085372270232
6956,40.60825526844791,-120.64296407552403
6963,34.024337982046355,-117.88563522346804
6970,40.61541930630539,-120.64333049958604
6978,37.51941019934009,-120.23853719654822
6981,34.47216303087547,-117.93833873510134
7000,41.418854139481454,-120.1311070789336
7014,34.77718826493341,-114.58218440566132
7027,34.02768680565024,-117.74084575071228
7050,40.18301551146225,-122.27486263853916
7061,40.64904609782142,-121.1734274882289
7081,36.457500208331005,-118.88550727228792
7114,37.018158406686666,-120.41763161041726
7126,38.49517504903654,-121.92759555821982
7129,38.44278555641366,-121.96611125914649
7142,38.30933417846904,-121.82351412845084
7201,34.500463402966,-114.64968049970702
7211,37.06305760786111,-121.22973745625676
7218,37.46362222474266,-120.93413905463612
7224,39.238406937872575,-122.01338211630105
7233,35.4994699608386,-119.08038035011272
7277,32.96238313073456,-117.0330320002294
7320,41.59659415871023,-121.95970100396578
7329,39.01775905642857,-122.59851244512068
7331,38.40337532994511,-122.688440596689
7337,33.91697235703695,-117.65221456598368
7390,38.55500779140949,-121.31351578890322
7413,38.46299472593454,-122.22809469918832
7433,35.51996537154573,-120.3287827912584
7435,34.15112381245337,-117.6076387266417
7440,35.226282256700465,-119.44558043378495
7443,35.70877703596293,-119.76111863510152
7458,38.690511764601,-120.9994074683652
7465,35.743781791608605,-119.95571289005184
7486,34.73391866245374,-118.42582718790996
7495,41.59367327180737,-122.40227586108507
7520,37.09817047131783,-120.17690227063304
7521,38.406410504234,-121.4408849880018
7545,39.47028767863608,-121.7447066979626
7562,39.36119944060731,-121.2995260658403
7566,34.64129888529752,-117.34475308729851
